system,dp,Temp,MSD_1ps,MSD_2ps,MSD_3ps,MSD_4ps,MSD_5ps,MSD_6ps,MSD_7ps,MSD_8ps,MSD_9ps,MSD_10ps
PDMS,100,240,0.9278363901161167,1.1738700239354622,1.2971630799526679,1.3870288729486346,1.4549123019302415,1.5064645827709007,1.5503379991784534,1.5829996920464344,1.6043415681863333,1.632724595850948
PDMS,100,245,0.9524685604298313,1.2076323157075421,1.337517472121554,1.419676982059338,1.4840326926774907,1.5395245251400727,1.5837720505489203,1.6161242213820806,1.64457396910964,1.6705528563833763
PDMS,100,250,0.9775818138401654,1.2430335133741672,1.3822422599952358,1.466694478380981,1.5245990371989453,1.5676149880511674,1.6103175870726876,1.6561076910866928,1.685983286801711,1.7043792599170704
PDMS,100,255,1.0158822564052028,1.2810429723372108,1.4171979198646996,1.5100595455631365,1.5760239013801178,1.6299981443673324,1.6725284143438173,1.7004676706225532,1.7295278376313337,1.7501729169603812
PDMS,100,260,1.0362579900450486,1.3260553162793134,1.46625526300955,1.5499049540758374,1.610996571033872,1.6709776305676656,1.712412336127656,1.7443063702066783,1.7654960850925092,1.7959435593813797
PDMS,100,265,1.0684943097477946,1.3470955135199385,1.4889878354266721,1.5769562723642787,1.6438088758473437,1.6951991931210781,1.7434077817587217,1.7771055488468808,1.8029287972116184,1.8319731661228684
PDMS,100,270,1.0958294727968183,1.3875010517897064,1.5358098278875303,1.6264468776586898,1.6894931605575305,1.7398646895728203,1.7749646348063088,1.8032786617262968,1.8317830776017292,1.8611249703385249
PDMS,100,275,1.126236530146929,1.421195762640174,1.5834760242568988,1.6709454894546418,1.7400019977212362,1.7946836944893998,1.8413431458267255,1.8813061824955848,1.904004765186772,1.9192446017650913
PDMS,100,280,1.1539140538734216,1.4682287554567823,1.6247780088488206,1.712421362266569,1.7781345513730364,1.8415662753519502,1.8788534419369927,1.9094497203768406,1.9317893267695276,1.9488022636774922
PDMS,100,285,1.1874195042591507,1.5096648486028472,1.6658816259537061,1.7552569497247308,1.816616883057748,1.8582660967966518,1.8963831572675307,1.933286178981339,1.9627710088673962,1.9905437232052812
PDMS,100,290,1.2146047090414904,1.544753510886384,1.7081478576820786,1.80912301717686,1.8677081121683803,1.917579715906125,1.9516001642592038,1.983979443543967,1.9976112414288274,2.0181145584269844
PDMS,100,295,1.2403876206565172,1.5823266917882375,1.740048780597321,1.8297499939846862,1.902964368916745,1.954819391839214,1.9861944062489556,2.023223155684314,2.0381821814812064,2.0527375758820754
PDMS,100,300,1.277694081499766,1.6281533538939599,1.7914109957339481,1.8855269199365399,1.9480603209032452,2.002297723011445,2.0372436467691655,2.0663196213269766,2.0881560375457435,2.1106232154899027
PDMS,100,305,1.3142736475994803,1.666081785133923,1.8361062815815081,1.940912805337821,2.0078105993225517,2.0489771617428034,2.0844843320994526,2.109085905823688,2.124707321969364,2.1360933666757
