system,dp,r,g_r
PMTFPS,100,8.750914877111263,0.0
PMTFPS,100,9.250967155803334,0.0
PMTFPS,100,9.751019434495408,0.0
PMTFPS,100,10.251071713187478,0.0
PMTFPS,100,10.751123991879552,0.0
PMTFPS,100,11.251176270571623,0.0
PMTFPS,100,11.751228549263695,0.0
PMTFPS,100,12.251280827955767,0.0
PMTFPS,100,12.751333106647838,0.0
PMTFPS,100,13.251385385339912,0.0
PMTFPS,100,13.751437664031982,0.0
PMTFPS,100,14.251489942724056,0.0
PMTFPS,100,14.751542221416127,0.0
PMTFPS,100,15.251594500108201,0.0
PMTFPS,100,15.751646778800271,0.0
PMTFPS,100,16.251699057492345,0.0
PMTFPS,100,16.751751336184416,0.0
PMTFPS,100,17.251803614876486,0.0
PMTFPS,100,17.75185589356856,0.0
