system,dp,sample_idx,rg
PDMS,10,171,7.051929473876953
PDMS,10,172,6.60476541519165
PDMS,10,173,6.767804145812988
PDMS,10,174,7.871423244476318
PDMS,10,175,6.251910209655762
PDMS,10,176,8.008465766906738
PDMS,10,177,7.066786289215088
PDMS,10,178,6.921209335327148
PDMS,10,179,7.266740322113037
PDMS,10,180,5.919261455535889
PDMS,10,181,7.411571025848389
PDMS,10,182,7.534331798553467
PDMS,10,183,6.22440767288208
PDMS,10,184,6.316277980804443
PDMS,10,185,7.9910149574279785
PDMS,10,186,6.95611572265625
PDMS,10,187,6.877502918243408
PDMS,10,188,5.703797817230225
PDMS,10,189,7.233320236206055
PDMS,10,190,7.254890441894531
PDMS,10,191,7.359354019165039
PDMS,10,192,6.431016445159912
PDMS,10,193,7.64713191986084
PDMS,10,194,7.244267463684082
PDMS,10,195,5.61872673034668
PDMS,10,196,7.554969787597656
PDMS,10,197,7.631329536437988
PDMS,10,198,7.4830851554870605
PDMS,10,199,5.998814582824707
PDMS,10,200,7.369854927062988
PDMS,10,201,5.294557094573975
PDMS,10,202,7.73485803604126
PDMS,10,203,7.023569583892822
PDMS,10,204,5.985324859619141
PDMS,10,205,5.590792655944824
PDMS,10,206,5.816688060760498
PDMS,10,207,6.600189208984375
PDMS,10,208,7.5430426597595215
PDMS,10,209,7.855620384216309
PDMS,30,0,10.257842063903809
PDMS,30,1,13.054266929626465
PDMS,30,2,13.599621772766113
PDMS,30,3,18.653291702270508
PDMS,30,4,15.734049797058105
PDMS,30,5,20.00186538696289
PDMS,30,6,11.618778228759766
PDMS,30,7,14.626527786254883
PDMS,30,8,16.868003845214844
PDMS,30,9,11.3410062789917
PDMS,30,10,14.919954299926758
PDMS,30,11,16.442075729370117
PDMS,30,12,13.305107116699219
PDMS,30,13,11.83483600616455
PDMS,30,14,11.300725936889648
PDMS,30,15,14.39458179473877
PDMS,30,16,15.16539478302002
PDMS,30,17,16.518760681152344
PDMS,30,18,11.938370704650879
PDMS,30,19,10.72907829284668
PDMS,30,20,10.689102172851562
PDMS,30,21,11.877337455749512
PDMS,30,22,12.171501159667969
PDMS,30,23,18.573928833007812
PDMS,30,24,20.563291549682617
PDMS,30,25,15.114133834838867
PDMS,30,26,14.36896800994873
PDMS,30,27,17.186716079711914
PDMS,30,28,12.48742389678955
PDMS,30,29,16.39242935180664
PDMS,30,30,18.580881118774414
PDMS,30,31,12.93708610534668
PDMS,30,32,12.772041320800781
PDMS,30,33,9.553363800048828
PDMS,30,34,17.53021240234375
PDMS,30,35,14.42701530456543
PDMS,30,36,10.975285530090332
PDMS,30,37,16.458372116088867
PDMS,30,38,11.319700241088867
PDMS,30,39,17.24903678894043
PDMS,30,40,14.257304191589355
PDMS,30,41,18.377317428588867
PDMS,30,42,12.9332275390625
PDMS,30,43,13.57329273223877
PDMS,30,44,11.623357772827148
PDMS,30,45,20.048826217651367
PDMS,30,46,12.2510404586792
PDMS,30,47,11.925469398498535
PDMS,30,48,13.631092071533203
PDMS,30,49,10.146968841552734
PDMS,30,50,17.914356231689453
PDMS,30,51,17.79918098449707
PDMS,30,52,11.175006866455078
PDMS,30,53,12.409807205200195
PDMS,30,54,20.093843460083008
PDMS,30,55,18.94997787475586
PDMS,30,56,18.042612075805664
PDMS,30,57,11.57558822631836
PDMS,30,58,18.5330753326416
PDMS,30,59,9.576102256774902
PDMS,30,60,14.998623847961426
PDMS,30,61,12.836869239807129
PDMS,30,62,19.357872009277344
PDMS,30,63,13.508261680603027
PDMS,30,64,17.361831665039062
PDMS,30,65,10.385821342468262
PDMS,30,66,14.4838285446167
PDMS,30,67,17.244112014770508
PDMS,30,68,18.774438858032227
PDMS,30,69,12.010890007019043
PDMS,30,70,18.422218322753906
PDMS,30,71,16.041263580322266
PDMS,30,72,18.65104866027832
PDMS,30,73,14.588830947875977
PDMS,30,74,14.91769027709961
PDMS,30,75,13.622303009033203
PDMS,30,76,19.758207321166992
PDMS,30,77,15.476529121398926
PDMS,30,78,16.960399627685547
PDMS,30,79,15.569710731506348
PDMS,30,80,18.961801528930664
PDMS,30,81,10.774649620056152
PDMS,30,82,16.44066047668457
PDMS,30,83,12.105659484863281
PDMS,30,84,16.703229904174805
PDMS,30,85,14.475750923156738
PDMS,30,86,15.784748077392578
PDMS,30,87,19.424100875854492
PDMS,30,88,11.002253532409668
PDMS,30,89,16.203033447265625
PDMS,30,90,16.691844940185547
PDMS,30,91,15.72343921661377
PDMS,30,92,19.576763153076172
PDMS,30,93,14.792634963989258
PDMS,30,94,15.361316680908203
PDMS,30,95,15.027782440185547
PDMS,30,96,17.473432540893555
PDMS,30,97,17.854822158813477
PDMS,30,98,10.29271411895752
PDMS,30,99,12.80005168914795
PDMS,30,100,14.38436508178711
PDMS,30,101,15.988738059997559
