system,dp,sample_idx,ree
PDMS,30,35,36.164283752441406
PDMS,30,36,12.529024124145508
PDMS,30,37,33.66128921508789
PDMS,30,38,15.769901275634766
PDMS,30,39,43.40642547607422
PDMS,30,40,27.619909286499023
PDMS,30,41,49.48198699951172
PDMS,30,42,17.415807723999023
PDMS,30,43,23.61084747314453
PDMS,30,44,23.599781036376953
PDMS,30,45,61.30201721191406
PDMS,30,46,16.889530181884766
PDMS,30,47,17.937589645385742
PDMS,30,48,21.344865798950195
PDMS,30,49,10.175651550292969
PDMS,30,50,51.6494255065918
PDMS,30,51,53.01654052734375
PDMS,30,52,17.66041374206543
PDMS,30,53,32.804080963134766
PDMS,30,54,62.13398742675781
PDMS,30,55,55.57677459716797
PDMS,30,56,49.60942459106445
